,"GARAGE ZONE,Zone Air Temperature [C]","LIVING ZONE,Zone Air Temperature [C]","RES DS RES AC ASYS RET AIR ZONE,Zone Air Temperature [C]","RES DS RES FUR GAS ASYS RET AIR ZONE,Zone Air Temperature [C]","UNFINISHED ATTIC ZONE,Zone Air Temperature [C]","UNFINISHED BASEMENT ZONE,Zone Air Temperature [C]",UNIT 1:ELECTRICITYHEATING [J],UNIT 1:ELECTRICITYCOOLING [J],UNIT 1:ELECTRICITYINTERIORLIGHTING [J],CENTRAL:ELECTRICITYEXTERIORLIGHTING [J],CENTRAL:ELECTRICITYGARAGELIGHTING [J],UNIT 1:ELECTRICITYINTERIOREQUIPMENT [J],UNIT 1:ELECTRICITYFANSHEATING [J],UNIT 1:ELECTRICITYFANSCOOLING [J],UNIT 1:ELECTRICITYWATERSYSTEMS [J],UNIT 1:NATURALGASHEATING [J],UNIT 1:NATURALGASWATERSYSTEMS [J],Electricity:Facility [J],"Environment,Site Outdoor Air Wetbulb Temperature [C]",Electricity:Facility [J],NaturalGas:Facility [J]
2023-01-01 11:00:00,14.98361680812779,20.00000028819029,23.000000025316044,20.008876699483796,7.024140030135016,19.875270754452384,49972.85079871428,0.0,638125.8382151562,141624.86715489405,17607.063944222176,1151099.5758302195,469999.22058986616,0.0,0.0,19540136.571146034,2510960.0416367375,2468429.416533072,23.733726689639408,2468429.416533072,22653527.69543279
2023-01-01 12:00:00,15.24273985363522,20.000000025501233,23.00000002531604,19.973232036462736,9.999728348815976,19.732251009658157,44459.241470854555,0.0,619572.2630157175,137507.10939379412,17095.136726474393,1129643.3514522968,418143.2218763056,0.0,0.0,17384232.364274256,10740122.022008846,2366420.3239354426,28.56826720240009,2366420.3239354426,28811125.820504125
2023-01-01 13:00:00,15.175825347080284,20.0,23.00000002531604,19.941088883051858,11.14613029040011,19.437153987773694,36382.15239807132,0.0,614112.6013933626,136295.39877862865,16944.494634363706,1266661.7241963875,342177.46230549645,0.0,0.0,14225969.006131869,15146074.167428557,2412573.8337063105,31.447069616102638,2412573.8337063105,29926279.769598447
2023-01-01 14:00:00,15.104930977208772,20.0,23.00000002531604,19.91400249077235,11.89679952797301,19.429017641851843,37420.435005513915,0.0,617950.6126975247,137147.20230786866,17050.392415654056,1391537.2629497093,351942.6049469603,0.0,0.0,14631953.128002219,0.0,2553048.5103232306,31.07469714115029,2553048.510323231,15318724.562223244
2023-01-01 15:00:00,14.898414864893931,19.999999699347224,23.00000002531604,19.909351726091842,10.675236159793632,19.448261804172443,42405.172562613356,0.0,648204.6542631949,143861.74724718832,17885.15699109867,1410059.7863570622,398824.5164096149,0.0,0.0,16581060.5149186,1942383.8983296969,2661241.033830772,21.82636552609898,2661241.033830772,19053583.765980314
2023-01-01 16:00:00,14.485251458069627,19.999998785971844,23.00000002531604,19.935485665555124,8.125681354501348,19.741414281721546,55100.76968908876,0.0,749231.037464576,166283.4190291274,20672.660462287775,1828974.3632947926,518227.7655538464,0.0,0.0,21545230.01372896,2091860.4488947007,3338490.0154937184,12.33167861564672,3338490.015493719,24745563.6546997
2023-01-01 17:00:00,14.092289708899465,20.000000236283658,23.00000002531604,19.967464138261207,5.69213476451232,19.82924261921464,55441.774572026494,0.0,974021.6254977859,216173.16688343667,26875.0456667959,2363209.7152332566,521434.94758641894,0.0,0.0,21678568.053835373,0.0,4157156.2754397197,9.207108456517878,4157156.2754397206,23485861.301785443
2023-01-01 18:00:00,13.822526431630822,20.000000000133408,23.00000002531604,19.978300630640366,3.9504667810148226,19.94812155047603,63462.17438249457,0.0,1263502.6933980482,280420.240626607,34862.36003008473,2801865.077118756,596867.5394736142,0.0,0.0,24814665.05744623,2231037.539762488,5040980.085029606,7.299325029597093,5040980.085029606,28455391.33060977
2023-01-01 19:00:00,13.612268566659067,20.0,23.00000002531604,19.994822100610076,2.685817087027243,19.952094453642392,61927.58280228232,0.0,1409070.7323246635,312727.4329394016,38878.84959393743,2788118.385974663,582434.565666923,0.0,0.0,24214616.65958597,0.0,5193157.54930187,4.2066860650814215,5193157.54930187,24937533.958766
2023-01-01 20:00:00,13.454739616228158,20.0,23.00000002531604,19.99081011475027,2.0126577169892506,19.956235281122883,63930.07346103113,0.0,1274577.935532006,282878.2663042965,35167.94630284209,2882594.697747635,601268.1729918555,0.0,0.0,24997620.637325868,4700165.4079009555,5140417.092339667,4.807486360123728,5140417.092339667,30119487.803081844
2023-01-01 21:00:00,13.409060432630566,20.0,23.00000002531604,19.99368073126895,2.0969283991462393,19.955861053006114,64304.55529003208,0.0,986413.9855072701,218923.5120896232,27216.973640935135,2792322.961816396,604790.2087561239,0.0,0.0,25144048.667048752,1963238.8310479652,4693972.19710038,9.59267499981375,4693972.19710038,27408503.03942173
2023-01-01 22:00:00,13.423899151244143,20.0,23.00000002531604,19.990900124248075,2.487563284993296,19.936830414156187,64596.32985443475,0.0,848154.9492374011,188238.47087666765,23402.152885080817,2399934.2853534236,607534.3751517845,0.0,0.0,25258136.911871504,2568399.9882291174,4131860.563358792,12.894143864607486,4131860.563358792,28019314.84654863
2023-01-01 23:00:00,13.409260527531762,20.0,23.00000002531604,19.98938181977422,2.7997760298589327,19.937679549380757,66673.69085210908,0.0,347014.79457298486,77016.03859145309,9574.77555638108,2045595.4001585464,627072.1448444403,0.0,0.0,26070416.31865638,0.0,3172946.844575915,14.479468778742348,3172946.8445759146,26202951.156839386
2023-01-02 00:00:00,13.380311609660978,20.0,23.00000002531604,19.99131296257568,3.0314266127322025,19.949638214162565,67998.75529269975,0.0,172307.65550116322,38241.750072962146,4754.284698725945,1662908.3136937195,639534.4967886481,0.0,0.0,26588536.452306576,1942358.5817548013,2585745.256047919,16.08660758906503,2585745.256047919,28615235.385632377
2023-01-02 01:00:00,13.361175515656512,20.0,23.00000002531604,19.991466615475485,3.2553363080027125,19.93906501999196,67749.31527053565,0.0,103384.59330069821,22945.05004377735,2852.5708192355755,1546709.7899876577,637188.4906247559,0.0,0.0,26491001.6504793,0.0,2380829.8100466602,17.73459757256885,2380829.8100466602,26575342.002050307
2023-01-02 02:00:00,13.363377499630753,20.0,23.00000002531604,19.98645952630656,3.5184439091603816,19.893430794999272,67019.10720880853,0.0,68923.06220046543,15296.700029184893,1901.7138794903824,1539305.525620187,630320.8171901836,0.0,0.0,26205479.311380196,0.0,2322766.92612832,20.34412656255155,2322766.92612832,26253673.7979922
2023-01-02 03:00:00,13.30464227518619,20.0,23.00000002531604,19.982298935118138,3.7608967941508564,19.88466134827701,67812.50212133754,0.0,68923.06220046543,15296.700029184893,1901.7138794903824,1497933.8337705282,637782.7687208373,0.0,0.0,26515708.659874126,0.0,2289650.5807218435,19.79424705852679,2289650.5807218435,26563903.146486122
2023-01-02 04:00:00,13.243692554511163,20.0,23.00000002531604,19.979199226889197,3.7888156712591994,19.863672715983366,67521.6376440348,0.0,76626.93513177375,17006.48815424566,2114.277883635867,1385181.298510479,635047.1617773749,0.0,0.0,26401976.272800922,1942423.3722294888,2183497.799101544,20.343198045004222,2183497.799101544,28428739.996601414
2023-01-02 05:00:00,13.221474179716749,20.000000000000004,23.00000002531604,19.973831735702564,3.8725247300163512,19.810886005444065,66074.7674478051,0.0,210255.32050738842,46663.808377915164,5801.330476040561,1502016.1975564358,621439.2155895189,0.0,0.0,25836228.255964216,0.0,2452250.639955104,21.716355715072705,2452250.6399551034,25968763.09414722
2023-01-02 06:00:00,13.161597126149077,20.0,23.00000002531604,19.963865371032234,3.7737333764602496,19.744019733622157,65212.24309162988,0.0,493621.45221486513,109553.74067013562,13619.92251825498,1787907.9403114927,613327.0953349634,0.0,0.0,25498968.254859034,0.0,3083242.3941413416,17.87034855068646,3083242.3941413416,25800183.79618404
2023-01-02 07:00:00,13.052635042449227,20.0,23.00000002531604,19.957347485570306,3.5833091083197846,19.723369821208916,64475.20054244278,0.0,624665.222757963,138637.43464271084,17235.6608401788,1965005.423727957,606395.142922346,0.0,0.0,25210773.528328996,4126794.4925828585,3416414.0854335986,16.586633583706888,3416414.0854335986,29843610.13033787
2023-01-02 08:00:00,13.061931297135617,20.0,23.00000002531604,19.94406280133645,3.8488149912937537,19.577536233140282,57967.764413197,0.0,663843.6880184186,147332.65524898536,18316.66665716116,1487183.9438441417,545192.1124788129,0.0,0.0,22666268.088652465,22114036.533900525,2919836.8306607166,22.13792796594513,2919836.8306607166,45334541.21859101
2023-01-02 09:00:00,13.400694255133951,20.000000355440935,23.00000002531604,19.921483845237514,5.4079409774278036,19.435867962001794,51208.32123859759,0.0,682384.8887856022,151447.666643743,18828.252441594468,1389336.6122564925,481618.93278411054,0.0,0.0,20023224.102457233,2368555.6488457085,2774824.6741501405,28.56344568742973,2774824.6741501405,22970113.590646964
2023-01-02 10:00:00,13.906645684489241,20.00000214787414,23.00000002531604,19.88570632204647,8.131309429849663,19.15869685859546,42417.066884683205,0.0,663831.3135861631,147329.908882643,18316.325223846692,1659633.1286348873,398936.3835937544,0.0,0.0,16585711.373814005,1942653.7516316606,2930464.1268059784,34.61319365795703,2930464.126805978,26409789.124409962
2023-01-02 11:00:00,14.134537719630023,20.000001323493006,23.00000002531604,19.86123039096327,10.181881245262696,19.098226645884647,40244.26571432448,0.0,638125.8382151562,141624.86715489405,17607.063944222176,1151099.5758302195,378500.9903703678,0.0,0.0,15736113.423483586,2226048.1713305856,2367202.601229184,42.60792924332122,2367202.601229184,18564592.67746419
2023-01-02 12:00:00,14.212134062536487,20.000000000000266,23.00000002531604,19.846125817633652,11.363128296832075,18.97805525868228,37796.07994408845,0.0,619572.2630157175,137507.10939379412,17095.136726474393,1129643.3514522968,355475.57986287406,0.0,0.0,14778835.95106892,5205214.683750989,2297089.5203952454,44.46283932272248,2297089.520395245,20670822.069040935
2023-01-02 13:00:00,14.155784479972832,20.0,23.00000002531604,19.838817907325325,11.612224532805072,19.008467380589895,39649.79545398251,0.0,614112.6013933626,136295.39877862865,16944.494634363706,1266661.7241963875,372909.94334065204,0.0,0.0,15503666.607084116,0.0,2446573.9577973774,41.84307314157118,2446573.9577973774,16057903.203122137
2023-01-02 14:00:00,14.069619191244612,20.0,23.00000002531604,19.83789753054724,11.03353514463974,18.99031290621621,39470.26052648387,0.0,617950.6126975247,137147.20230786866,17050.392415654056,1391537.2629497093,371221.4009692573,0.0,0.0,15433465.749087349,1944443.6848170492,2574377.131866498,40.338420681744054,2574377.131866498,18064680.86812542
2023-01-02 15:00:00,13.921085022057897,20.000000429494705,23.00000002531604,19.84285826759617,9.882565546019508,19.065938556010803,45432.40245174473,0.0,648204.6542631949,143861.74724718832,17885.15699109867,1410059.7863570622,427295.8896792524,0.0,0.0,17764752.950320024,0.0,2692739.636989541,34.12400187621516,2692739.6369895414,18294892.303052045
2023-01-02 16:00:00,13.641338291869921,20.00000000048338,23.00000002531604,19.86556289087032,8.347487071164919,19.260172084792227,51220.43376880057,0.0,749231.037464576,166283.4190291274,20672.660462287775,1828974.3632947926,481732.8522356485,0.0,0.0,20027960.284015924,1942793.2031021093,3298114.7662552325,31.694267605247738,3298114.7662552325,23079226.679194078
2023-01-02 17:00:00,13.559913414787902,20.0,23.00000002531604,19.87269849695038,7.453471365073803,19.172763378170373,45478.95125790096,0.0,974021.6254977859,216173.16688343667,26875.0456667959,2363209.7152332566,427733.6854476174,0.0,0.0,17782954.233916596,0.0,4053492.189986794,32.398090427857284,4053492.1899867933,19590247.48186666
2023-01-02 18:00:00,13.505146047775904,20.0,23.00000002531604,19.86666630550042,6.840245126093394,19.200551630565133,49604.70691696598,0.0,1263502.6933980482,280420.240626607,34862.36003008473,2801865.077118756,466536.79379769525,0.0,0.0,19396186.77416189,2767682.215525213,4896791.871888158,31.784992174752624,4896791.871888158,23573557.723088156
